id,from_node,to_node,distance,spend_tm
2100,1,1001,34591,42
2101,1,1002,12151,15
2102,1,1003,40499,49
2103,1,1004,26765,33
2104,1,1005,29377,36
2105,1,1006,29575,36
2106,1,1007,16614,20
2107,1,1008,48435,59
2108,1,1009,16437,20
2109,1,1010,15550,19
2110,1,1011,35485,43
2111,1,1012,56823,69
2112,1,1013,45380,55
2113,1,1014,36215,44
2114,1,1015,58461,71
2115,1,1016,36950,45
2116,1,1017,62629,76
2117,1,1018,47497,57
2118,1,1019,44468,54
2119,1,1020,51735,63
2120,1,1021,27282,33
2121,1,1022,50736,61
2122,1,1023,33721,41
2123,1,1024,35200,43
2124,1,1025,32720,40
2125,1,1026,37400,45
2126,1,1027,35414,43
2127,1,1028,47802,58
2128,1,1029,52800,64
2129,1,1030,59427,72
2130,1,1031,29098,35
2131,1,1032,45595,55
2132,1,1033,14218,18
2133,1,1034,40464,49
2134,1,1035,52456,63
2135,1,1036,29683,36
2136,1,1037,44641,54
2137,1,1038,33854,41
2138,1,1039,8317,10
2139,1,1040,23483,29
2140,1,1041,29006,35
2141,1,1042,24675,30
2142,1,1043,46588,56
2143,1,1044,34565,42
2144,1,1045,12480,15
2145,1,1046,65651,79
2146,1,1047,44863,54
2147,1,1048,50286,61
2148,1,1049,52822,64
2149,1,1050,38934,47
2150,1,1051,36576,44
2151,1,1052,35283,43
2152,1,1053,19282,24
2153,1,1054,29743,36
2154,1,1055,54167,66
2155,1,1056,24612,30
2156,1,1057,45882,56
2157,1,1058,38077,46
2158,1,1059,39539,48
2159,1,1060,32007,39
2160,1,1061,60693,73
2161,1,1062,42258,51
2162,1,1063,45138,55
2163,1,1064,45332,55
2164,1,1065,39005,47
2165,1,1066,37791,46
2166,1,1067,47115,57
2167,1,1068,23964,29
2168,1,1069,37892,46
2169,1,1070,50595,61
2170,1,1071,31546,38
2171,1,1072,65577,79
2172,1,1073,32059,39
2173,1,1074,11818,15
2174,1,1075,25374,31
2175,1,1076,38746,47
2176,1,1077,37178,45
2177,1,1078,42587,52
2178,1,1079,49101,59
2179,1,1080,36136,44
2180,1,1081,22904,28
2181,1,1082,26791,33
2182,1,1083,13108,16
2183,1,1084,37661,46
2184,1,1085,36694,45
2185,1,1086,50595,61
2186,1,1087,25107,31
2187,1,1088,44293,54
2188,1,1089,12230,15
2189,1,1090,32197,39
2190,1,1091,35118,43
2191,1,1092,41940,51
2192,1,1093,31716,39
2193,1,1094,33522,41
2194,1,1095,35217,43
2195,1,1096,52764,64
2196,1,1097,24682,30
2197,1,1098,23050,28
2198,1,1099,43451,53
2199,1,1100,15793,19
3200,2,1001,26187,32
3201,2,1002,34668,42
3202,2,1003,25353,31
3203,2,1004,17632,22
3204,2,1005,15027,19
3205,2,1006,24438,30
3206,2,1007,45153,55
3207,2,1008,12457,15
3208,2,1009,31307,38
3209,2,1010,51591,62
3210,2,1011,40538,49
3211,2,1012,20863,26
3212,2,1013,16074,20
3213,2,1014,14918,18
3214,2,1015,28797,35
3215,2,1016,45458,55
3216,2,1017,26683,33
3217,2,1018,35863,44
3218,2,1019,20641,25
3219,2,1020,43337,53
3220,2,1021,17129,21
3221,2,1022,29392,36
3222,2,1023,23264,28
3223,2,1024,10103,13
3224,2,1025,24311,30
3225,2,1026,22781,28
3226,2,1027,36756,45
3227,2,1028,11813,15
3228,2,1029,44401,54
3229,2,1030,23579,29
3230,2,1031,37583,46
3231,2,1032,10542,13
3232,2,1033,30200,37
3233,2,1034,34600,42
3234,2,1035,27284,33
3235,2,1036,26545,32
3236,2,1037,10666,13
3237,2,1038,10546,13
