1016	0	1017	6695	9
2138	1	1039	8317	10	
3251	2	1052	9119	11	
4301	3	1002	8256	10	
5411	4	1012	6751	9	
6500	5	1001	10739	13	
7639	6	1040	5342	7	
8707	7	1008	6480	8	
9811	8	1012	6398	8	
10927	9	1028	8970	11	
12004	10	1005	5642	7	
13179	11	1080	7292	9	
14209	12	1010	7758	10	
15388	13	1089	5914	8	
16429	14	1030	11225	14	
17556	15	1057	8044	10	
18699	16	1100	13256	16	
19727	17	1028	9581	12	
20879	18	1080	6140	8	
21982	19	1083	7124	9	
23055	20	1056	6766	9	
24167	21	1068	10158	13	
25249	22	1050	10358	13	
26398	23	1099	5737	7	
27468	24	1069	8066	10	
28505	25	1006	5680	7	
29609	26	1010	12203	15	
30779	27	1080	5706	7	
31893	28	1094	5062	7	
32962	29	1063	6482	8	
34083	30	1084	6342	8	
35190	31	1091	5975	8	
36286	32	1087	5446	7	
37313	33	1014	6174	8	
38487	34	1088	6203	8	
39574	35	1075	6824	9	
40666	36	1067	5538	7	
41745	37	1046	6373	8	
42834	38	1035	5895	8	
43909	39	1010	7788	10	
45062	40	1063	8294	10	
46113	41	1014	8108	10	
47274	42	1075	7991	10	
48395	43	1096	5137	7	
49417	44	1018	7965	10	
50562	45	1063	7329	9	
51680	46	1081	4339	6	
52747	47	1048	5843	8	
53806	48	1007	6202	8	
54999	49	1100	5135	7	
56044	50	1045	4988	6	
57109	51	1010	7162	9	
58232	52	1033	6814	9	
59315	53	1016	7930	10	
60448	54	1049	9745	12	
61597	55	1098	8362	11	
62655	56	1056	4880	6	
63771	57	1072	7952	10	
64812	58	1013	4831	6	
65977	59	1078	4401	6	
67039	60	1040	5592	7	
68152	61	1053	9109	11	
69288	62	1089	5857	8	
70385	63	1086	6242	8	
71407	64	1008	6283	8	
72555	65	1056	14357	18	
73647	66	1048	10330	13	
74706	67	1007	6020	8	
75800	68	1001	10009	13	
76949	69	1050	8081	10	
78067	70	1068	12357	15	
79117	71	1018	9960	12	
80299	72	1100	6963	9	
81315	73	1016	8239	10	
82484	74	1085	6741	9	
83532	75	1033	6204	8	
84632	76	1033	8338	11	
85709	77	1010	9857	12	
86817	78	1018	10477	13	
87934	79	1035	5514	7	
89078	80	1079	8400	11	
90113	81	1014	6067	8	
91204	82	1005	5853	8	
92396	83	1097	7070	9	
93478	84	1079	6229	8	
94513	85	1014	6105	8	
95683	86	1084	7526	10	
96724	87	1025	5876	8	
97817	88	1018	10543	13	
98939	89	1040	7437	9	
100080	90	1081	6016	8	
101191	91	1092	4970	6	
102271	92	1072	10924	14	
103313	93	1014	8296	10	
104448	94	1049	7737	10	
105578	95	1079	6314	8	
106601	96	1002	8271	10	
107759	97	1060	4866	6	
108896	98	1097	8307	10	
109966	99	1067	6660	8	
111067	100	1068	7851	10	
112162	101	1063	5571	7	
113284	102	1085	7375	9	
114352	103	1053	7547	10	
115480	104	1081	4676	6	
116599	105	1100	7550	10	
117662	106	1063	4711	6	
118727	107	1028	7274	9	
119880	108	1081	4760	6	
120949	109	1050	4909	6	
122006	110	1007	9602	12	
123138	111	1039	5946	8	
124235	112	1036	6253	8	
125385	113	1086	6981	9	
126407	114	1008	5024	7	
127508	115	1009	5804	7	
128669	116	1070	6327	8	
129708	117	1009	4777	6	
130843	118	1044	5300	7	
131993	119	1094	6993	9	
133024	120	1025	6505	8	
134138	121	1039	7680	10	
135274	122	1075	6513	8	
136315	123	1016	10160	13	
137495	124	1096	8093	10	
138513	125	1014	7518	10	
139637	126	1038	6355	8	
140741	127	1042	6541	8	
141827	128	1028	7852	10	
142901	129	1002	8728	11	
144063	130	1064	9081	11	
145169	131	1070	4865	6	
146255	132	1056	15990	20	
147327	133	1028	7747	10	
148402	134	1003	7560	10	
